Order ID,Order Date,Ship Date,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Order Month
US-2015-108966,2015-10-11,2015-10-18,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,957.5775,5,0.45,-383.031,-0.4,2015-10-01
US-2015-108966,2015-10-11,2015-10-18,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,22.368,2,0.2,2.5164,0.1125,2015-10-01
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,907.152,6,0.2,90.7152,0.09999999999999999,2014-06-01
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,18.504,3,0.2,5.7825,0.31249999999999994,2014-06-01
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,1706.184,9,0.2,85.3092,0.05,2014-06-01
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,911.424,4,0.2,68.3568,0.07500000000000001,2014-06-01
CA-2017-114412,2017-04-15,2017-04-20,AA-10480,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35000000000000003,2017-04-01
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,407.976,3,0.2,132.5922,0.32499999999999996,2016-12-01
US-2015-118983,2015-11-22,2015-11-26,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,68.81,5,0.8,-123.858,-1.8,2015-11-01
US-2015-118983,2015-11-22,2015-11-26,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,2.544,3,0.8,-3.816,-1.5,2015-11-01
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,213.48,3,0.2,16.011,0.075,2014-08-01
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,22.72,4,0.2,7.384,0.325,2014-08-01
US-2017-156909,2017-07-16,2017-07-18,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,71.372,2,0.3,-1.0196,-0.014285714285714287,2017-07-01
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,11.648,2,0.2,4.2224,0.36250000000000004,2016-01-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,3083.43,7,0.5,-1665.0522,-0.54,2015-09-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,9.618,2,0.7,-7.0532,-0.7333333333333334,2015-09-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,124.2,3,0.2,15.525,0.125,2015-09-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,3.264,2,0.2,1.1016,0.3375,2015-09-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,86.304,6,0.2,9.7092,0.11249999999999999,2015-09-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,6.858,6,0.7,-5.715,-0.8333333333333334,2015-09-01
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,15.76,2,0.2,3.546,0.22499999999999998,2015-09-01
CA-2017-107727,2017-10-19,2017-10-23,MA-17560,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,29.472,3,0.2,9.9468,0.33749999999999997,2017-10-01
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,GE 30524EE4,Technology,Phones,1097.544,7,0.2,123.4737,0.11249999999999999,2016-12-01
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,190.92,5,0.6,-147.963,-0.775,2016-12-01
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,113.328,9,0.2,35.415,0.3125,2015-12-01
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,532.3992,3,0.32,-46.9764,-0.08823529411764706,2015-12-01
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,212.058,3,0.3,-15.147,-0.07142857142857144,2015-12-01
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,371.168,4,0.2,41.7564,0.1125,2015-12-01
CA-2017-120999,2017-09-10,2017-09-15,LC-16930,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,147.168,4,0.2,16.5564,0.11249999999999999,2017-09-01
CA-2017-139619,2017-09-19,2017-09-23,ES-14080,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,95.616,2,0.2,9.5616,0.1,2017-09-01
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,319.41,5,0.1,7.098,0.02222222222222222,2016-06-01
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,48.48,4,0.2,16.362,0.33749999999999997,2016-06-01
CA-2015-135545,2015-11-24,2015-11-30,KM-16720,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,25.824,6,0.2,9.3612,0.3625,2015-11-01
US-2015-164175,2015-04-30,2015-05-05,PS-18970,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,213.115,5,0.3,-15.2225,-0.07142857142857142,2015-04-01
CA-2014-106376,2014-12-05,2014-12-10,BS-11590,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,1113.024,8,0.2,111.3024,0.10000000000000002,2014-12-01
CA-2014-106376,2014-12-05,2014-12-10,BS-11590,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,167.968,4,0.2,62.988,0.375,2014-12-01
CA-2016-106075,2016-09-18,2016-09-23,HM-14980,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,4.616,1,0.2,1.731,0.37500000000000006,2016-09-01
US-2015-134026,2015-04-26,2015-05-02,JE-15745,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,831.936,8,0.2,-114.3912,-0.13749999999999998,2015-04-01
US-2015-134026,2015-04-26,2015-05-02,JE-15745,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,97.04,2,0.2,1.213,0.0125,2015-04-01
US-2015-134026,2015-04-26,2015-05-02,JE-15745,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,72.784,1,0.2,-18.196,-0.25,2015-04-01
US-2017-118038,2017-12-09,2017-12-11,KB-16600,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Economy Binders,Office Supplies,Binders,1.248,3,0.8,-1.9344,-1.5499999999999998,2017-12-01
US-2017-118038,2017-12-09,2017-12-11,KB-16600,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,9.708,3,0.6,-5.8248,-0.6,2017-12-01
US-2017-118038,2017-12-09,2017-12-11,KB-16600,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,27.24,3,0.2,2.724,0.10000000000000002,2017-12-01
US-2014-147606,2014-11-26,2014-12-01,JE-15745,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,19.3,5,0.6,-14.475,-0.75,2014-11-01
CA-2015-149734,2015-09-03,2015-09-08,JC-16105,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,200.984,7,0.2,62.8075,0.3125,2015-09-01
US-2017-119662,2017-11-13,2017-11-16,CS-12400,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,230.376,3,0.2,-48.9549,-0.2125,2017-11-01
CA-2016-159695,2016-04-05,2016-04-10,GM-14455,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,158.368,7,0.2,13.8572,0.08750000000000001,2016-04-01
CA-2016-109806,2016-09-17,2016-09-22,JS-15685,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,73.584,2,0.2,8.2782,0.11249999999999999,2016-09-01
US-2017-109484,2017-11-06,2017-11-12,RB-19705,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,5.682,1,0.7,-3.788,-0.6666666666666666,2017-11-01
CA-2017-157833,2017-06-17,2017-06-20,KD-16345,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,51.312,3,0.2,17.9592,0.35,2017-06-01
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,64.624,7,0.2,22.6184,0.35000000000000003,2016-08-01
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,95.976,3,0.2,-10.7973,-0.1125,2016-08-01
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,1.788,3,0.8,-3.0396,-1.7,2016-08-01
US-2015-156867,2015-11-13,2015-11-17,LC-16870,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,238.896,6,0.2,-26.8758,-0.11250000000000002,2015-11-01
US-2015-156867,2015-11-13,2015-11-17,LC-16870,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,102.36,3,0.2,-3.8385,-0.0375,2015-11-01
US-2015-156867,2015-11-13,2015-11-17,LC-16870,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,36.882,3,0.7,-25.8174,-0.7000000000000001,2015-11-01
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,74.112,8,0.2,17.6016,0.23750000000000004,2017-11-01
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,27.992,1,0.2,2.0994,0.075,2017-11-01
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,3.304,1,0.2,1.0738,0.32500000000000007,2017-11-01
CA-2015-129476,2015-10-15,2015-10-20,PA-19060,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories,339.96,5,0.2,67.992,0.20000000000000004,2015-10-01
CA-2014-115259,2014-08-25,2014-08-27,RC-19960,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,40.096,14,0.2,14.5348,0.36250000000000004,2014-08-01
